nombre,precio
Sir Persival (Edicion Limitada Z 02),1000
Ogham (023/364 Aniversario HD),6000
Yvain del León (013/334 Aniversario ES Foil LLuvia),5000
Luz de Prometeo (TKPB25 32/30),4000
Salmon del Saber (TKPB25 33/30),6000
Toro Apis (TKPB25 34/30),7000
Tesoro de Mowa (TKPB25 31/30),5000
Sir Lamorak (Carta Dorada),5000
Daana (027/364 Aniversario HD),9000
Manzana Sidhe (056/364 Aniversario HD),4000
Milano Rojo (Secreta Promo 13),15000
Amosis I (LPB23 026/300 ),3000
Sir Persival (Edicion Limitada 20 Años),2000
Boobrie (158/364 Aniversario HD Foil),1000
Aed Finn (CRPB3 076/144),2000
Ashrays (326/364 Foil),1000
Kobold (160/364 Anivesrario HD Foil),1000
Kobol (CRPB3 097/144 Foil),2000
Rhiannon (153/364 Aniversario HD Foil),1000
Rhiannon (CRPB3 090/144 Foil),2000
Tumulario (157/364 Aniversario HD Foil),1000
Bran el Bendito (162/364 Aniversario HD Foil),1000
Fuente del Saber (107/364 Aniversario HD Foil),1000
Red de Plata (TKPB25 18/30),2000
Nuada Brazo de Plata (008/236),1000
Mananaun (111/364 Aniversario HD),1000
Lugh (LPB23 045/300),1000
Lugh (CRPB3 086/144),2000
Balor (015/236),1000
Wyrm Abismal (CRPB3 029/144),2000
Wyrm Abismal (017/236),1000
Demonio de Tara (113/364 Aniversario HD),1000
Tutatis (CRPB3 087-144),2000
Tutatis (061/364 Aniversario HD),1000
Tutatis (012/236),1000
Eriu (068/364 Aniversario HD),1000
