nombre,precio,tienda,nombre_original
NACIMIENTO DE PEGASO,24990,Pandora Store,NACIMIENTO DE PEGASO - SINGLES MITOS Y LEYENDAS
MEDUSA MAESTROS,24990,Pandora Store,MEDUSA MAESTROS - SINGLES MITOS Y LEYENDAS
AFRODITA MAESTROS,19990,Pandora Store,AFRODITA MAESTROS - SINGLES MITOS Y LEYENDAS
FOCEA (LBPB24 - PROMOCIONAL),19990,Pandora Store,FOCEA (LBPB24 - PROMOCIONAL)
PERSEO MAESTROS,19990,Pandora Store,PERSEO MAESTROS - SINGLES MITOS Y LEYENDAS
TORO APIS LEGENDARIO,18990,Pandora Store,TORO APIS LEGENDARIO - SINGLES MITOS Y LEYENDAS
DJEDEFHOR JO,18000,Pandora Store,DJEDEFHOR JO - SINGLES MITOS Y LEYENDAS
SALMON DEL SABER LEGENDARIA,15990,Pandora Store,SALMON DEL SABER LEGENDARIA - SINGLES MITOS Y LEYENDAS
HEKA JO,15000,Pandora Store,HEKA JO - SINGLES MITOS Y LEYENDAS
ARES JO,14990,Pandora Store,ARES JO - SINGLES MITOS Y LEYENDAS
ÁRBOL DE SANGRE (LBPB24 - DORADA),13000,Pandora Store,ÁRBOL DE SANGRE (LBPB24 - DORADA) - SINGLES MITOS Y LEYENDAS
SALMON DEL SABER FULL ART,12990,Pandora Store,SALMON DEL SABER FULL ART - SINGLES MITOS Y LEYENDAS
DAANA (HD ANIVERSARIO - UR - REWORK),12990,Pandora Store,DAANA (HD ANIVERSARIO - UR - REWORK) - SINGLES MITOS Y LEYENDAS
AINE SHOGUN,12990,Pandora Store,AINE SHOGUN - SINGLES MITOS Y LEYENDAS
RED DE PLATA ANIVERSARIO FULL ART,12000,Pandora Store,RED DE PLATA ANIVERSARIO FULL ART - SINGLES MITOS Y LEYENDAS
SIR LAMORAK (LEYENDAS PB 3.0 - BUY A BOX),12000,Pandora Store,SIR LAMORAK (LEYENDAS PB 3.0 - BUY A BOX) - SINGLES MITOS Y LEYENDAS
JEROGLIFICOS LEGENDARIO,11990,Pandora Store,JEROGLIFICOS LEGENDARIO - SINGLES MITOS Y LEYENDAS
Forma de Lince (LBPB24 - Dorada),11990,Pandora Store,Forma de Lince (LBPB24 - Dorada) - SINGLES MITOS Y LEYENDAS
ZAGREUS JUEGO ORGANIZADO,11990,Pandora Store,ZAGREUS JUEGO ORGANIZADO - SINGLES MITOS Y LEYENDAS
TORO APIS,11000,Pandora Store,TORO APIS - SINGLES MITOS Y LEYENDAS
RESPLANDOR DE HEKA,10000,Pandora Store,RESPLANDOR DE HEKA - SINGLES MITOS Y LEYENDAS
SIETE CONTRA TEBAS UR,10000,Pandora Store,SIETE CONTRA TEBAS UR - SINGLES MITOS Y LEYENDAS
RHIANNON FULL ART ANIVERSARIO,10000,Pandora Store,RHIANNON FULL ART ANIVERSARIO - SINGLES MITOS Y LEYENDAS
GANIMEDES JUEGO ORGANIZADO,10000,Pandora Store,GANIMEDES JUEGO ORGANIZADO - SINGLES MITOS Y LEYENDAS
ANILLOS DE BADBURY (TKPB25 - JUICIO Y VISIÓN),10000,Pandora Store,ANILLOS DE BADBURY (TKPB25 - JUICIO Y VISIÓN) - SINGLES MITOS Y LEYENDAS
FIGURAS NEGRAS (LBPB24 - ULTRASECRETA),10000,Pandora Store,FIGURAS NEGRAS (LBPB24 - ULTRASECRETA) - SINGLES MITOS Y LEYENDAS
MARMITA DRUIDA,9990,Pandora Store,MARMITA DRUIDA - SINGLES MITOS Y LEYENDAS
OENGUS ANIVERSARIO FULL ART,9990,Pandora Store,OENGUS ANIVERSARIO FULL ART - SINGLES MITOS Y LEYENDAS
BIBLIOTECA ETERNA LEGENDARIA,9990,Pandora Store,BIBLIOTECA ETERNA LEGENDARIA - SINGLES MITOS Y LEYENDAS
ERIU FULL ART,9990,Pandora Store,ERIU FULL ART - SINGLES MITOS Y LEYENDAS
CORONA DE ARTURO (CLESP) COLECCIÓN LEGENDARIA SECRETA- COPIAR,9990,Pandora Store,CORONA DE ARTURO (CLESP) COLECCIÓN LEGENDARIA SECRETA- COPIAR
ART MAC CUINN (LBPB24 - ARTE ALTERNATIVO),9000,Pandora Store,ART MAC CUINN (LBPB24 - ARTE ALTERNATIVO)- SINGLES MITOS Y LEYENDAS
SIR AGRAVAIN (CLESP) COLECCIÓN LEGENDARIA SECRETA,8990,Pandora Store,SIR AGRAVAIN (CLESP) COLECCIÓN LEGENDARIA SECRETA
MORIR DE PIE (CLESP) COLECCIÓN LEGENDARIA SECRETA,8990,Pandora Store,MORIR DE PIE (CLESP) COLECCIÓN LEGENDARIA SECRETA
RESPLANDOR DE HEKA (CLESP) COLECCIÓN LEGENDARIA SECRETA,8990,Pandora Store,RESPLANDOR DE HEKA (CLESP) COLECCIÓN LEGENDARIA SECRETA
DAANA (HD ANIVERSARIO - MR - REWORK),8000,Pandora Store,DAANA (HD ANIVERSARIO - MR - REWORK)
LA ODISEA JO,8000,Pandora Store,LA ODISEA JO - SINGLES MITOS Y LEYENDAS
CARMIX FULL ART ANIVERSARIO,7990,Pandora Store,CARMIX FULL ART ANIVERSARIO - SINGLES MITOS Y LEYENDAS
MACDA THO ANIVERSARIO FULL ART,7990,Pandora Store,MACDA THO ANIVERSARIO FULL ART - SINGLES MITOS Y LEYENDAS
FERGUS FULL ART,7990,Pandora Store,FERGUS FULL ART - SINGLES MITOS Y LEYENDAS
OGHAM (HD ANIVERSARIO - UR),7990,Pandora Store,OGHAM (HD ANIVERSARIO - UR) - SINGLES MITOS Y LEYENDAS
BRIAN BORU (CRPB3 - DEFENSOR),7990,Pandora Store,BRIAN BORU (CRPB3 - DEFENSOR) - SINGLES MITOS Y LEYENDAS
TAKELOT – SHOGUN,7990,Pandora Store,TAKELOT – SHOGUN - SINGLES MITOS Y LEYENDAS
KILGHARRAH (CLESP) COLECCIÓN LEGENDARIA SECRETA,7990,Pandora Store,KILGHARRAH (CLESP) COLECCIÓN LEGENDARIA SECRETA
ATENEA FULL ART,6990,Pandora Store,ATENEA FULL ART - SINGLES MITOS Y LEYENDAS
ENEAS,6990,Pandora Store,ENEAS - SINGLES MITOS Y LEYENDAS
REY MINOS,6990,Pandora Store,REY MINOS - SINGLES MITOS Y LEYENDAS
EXILIO FULL ART,6990,Pandora Store,EXILIO FULL ART - SINGLES MITOS Y LEYENDAS
KILGHARRAH (LBPB24 - FOIL LLUVIA),6990,Pandora Store,KILGHARRAH (LBPB24 - FOIL LLUVIA) - SINGLES MITOS Y LEYENDAS
LA TRAICIÓN DE MACALPIN (SECRETA PROMO),6990,Pandora Store,LA TRAICIÓN DE MACALPIN (SECRETA PROMO) - SINGLES MITOS Y LEYENDAS
TANUTAMANI (CLESP) COLECCIÓN LEGENDARIA SECRETA,6990,Pandora Store,TANUTAMANI (CLESP) COLECCIÓN LEGENDARIA SECRETA
LUZ DE PROMETEO (LBPB24 - DORADA),6000,Pandora Store,LUZ DE PROMETEO (LBPB24 - DORADA) - SINGLES MITOS Y LEYENDAS
TORO APIS BUY A BOX,6000,Pandora Store,TORO APIS BUY A BOX - SINGLES MITOS Y LEYENDAS
LA VISION (TKPB25 - JUICIO Y VISIÓN),6000,Pandora Store,LA VISION (TKPB25 - JUICIO Y VISIÓN) - SINGLES MITOS Y LEYENDAS
